tau_confidence,tau_entropy,total_cases,accepted_cases,reviewed_cases,acceptance_rate,review_rate,total_errors,reviewed_errors,accepted_errors,error_capture_rate,accepted_accuracy,accepted_macro_f1,missed_referable,missed_referable_rate,missed_urgent,missed_urgent_rate
0.95,0.2942,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.4062,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.5183,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.6303,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.7424,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.8544,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,0.9664,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,1.0785,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,1.1905,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
0.95,1.3026,549,85,464,0.15482695810564662,0.8451730418943534,96,96,0,1.0,1.0,1.0,0,0.0,0,0.0
